epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.0521,1.31308,1.70199,1.38313,0.3143,0.42823,0.33307,0.25304,0.802,1.01076,0.98828,0.0032,0.0032,0.0032
2,49.6935,1.16723,1.11463,1.28033,0.88876,0.40131,0.42376,0.33493,0.7644,0.75634,0.97395,0.0065,0.0065,0.0065
3,65.5758,1.15076,1.09499,1.27886,0.87966,0.41866,0.43208,0.33607,0.80716,0.74623,0.99945,0.0098,0.0098,0.0098
4,80.3182,1.11656,1.06756,1.24923,0.89647,0.39474,0.43256,0.33199,0.81512,0.78734,0.99429,0.00999999,0.00999999,0.00999999
5,94.5221,1.14194,1.07227,1.25254,0.88858,0.38381,0.43057,0.33207,0.83995,0.74416,0.98591,0.00999998,0.00999998,0.00999998
6,109.463,1.08487,1.01874,1.21207,0.91137,0.40431,0.4446,0.33051,0.88354,0.69135,1.024,0.00999998,0.00999998,0.00999998
7,124.627,1.10536,1.00976,1.22647,0.90665,0.41687,0.46125,0.35137,0.81879,0.66784,0.98686,0.00999996,0.00999996,0.00999996
8,139.648,1.06604,1.00263,1.2014,0.93278,0.40191,0.45562,0.35796,0.8135,0.61714,0.98888,0.00999995,0.00999995,0.00999995
9,155.756,1.09764,1.03488,1.23083,0.89003,0.37081,0.47473,0.35736,0.91801,0.89264,1.04927,0.00999994,0.00999994,0.00999994
10,171.013,1.06141,0.98415,1.20059,0.91132,0.41056,0.4529,0.34906,0.82696,0.63766,1.00926,0.00999992,0.00999992,0.00999992
11,185.238,1.06049,1.00322,1.20348,0.94126,0.39538,0.45534,0.35036,0.86552,0.68276,0.99531,0.0099999,0.0099999,0.0099999
12,200.171,1.03495,0.91764,1.18704,0.89435,0.39292,0.43594,0.32019,0.87789,0.74035,1.02196,0.00999988,0.00999988,0.00999988
13,214.985,1.04801,0.9917,1.2025,0.90687,0.39234,0.45755,0.34706,0.88553,0.71582,1.0206,0.00999986,0.00999986,0.00999986
14,230.028,1.03701,0.96102,1.18237,0.91576,0.40909,0.47024,0.36277,0.83313,0.67017,0.99846,0.00999983,0.00999983,0.00999983
15,244.781,1.02,0.9741,1.18004,0.89622,0.4384,0.49342,0.39252,0.78854,0.67146,0.96681,0.00999981,0.00999981,0.00999981
16,259.095,0.99777,0.92796,1.17552,0.88217,0.41902,0.45564,0.35346,0.79934,0.6228,0.97849,0.00999978,0.00999978,0.00999978
17,273.515,1.02802,0.93325,1.17746,0.90449,0.4067,0.46511,0.37416,0.78924,0.63063,0.95778,0.00999975,0.00999975,0.00999975
18,288.282,1.0229,0.94602,1.17614,0.89269,0.42897,0.45293,0.34731,0.84425,0.65373,0.99789,0.00999972,0.00999972,0.00999972
19,302.739,1.01982,0.93219,1.17419,0.88139,0.40431,0.43874,0.3353,0.82755,0.66211,0.98624,0.00999968,0.00999968,0.00999968
20,317.355,1.0258,0.96112,1.1746,0.89754,0.44258,0.46083,0.354,0.82984,0.62036,0.9698,0.00999965,0.00999965,0.00999965
21,331.971,1.01606,0.93839,1.17386,0.91565,0.41262,0.46522,0.36813,0.81314,0.66801,0.96745,0.00999961,0.00999961,0.00999961
22,346.5,1.0041,0.94133,1.1632,0.89782,0.42344,0.453,0.34325,0.82773,0.64354,0.99483,0.00999957,0.00999957,0.00999957
23,360.843,1.00073,0.95877,1.17085,0.90593,0.43301,0.45238,0.34597,0.82813,0.66225,0.99578,0.00999953,0.00999953,0.00999953
24,375.179,1.02484,0.92509,1.18505,0.92047,0.40472,0.52221,0.40219,0.82526,0.62595,1.01527,0.00999948,0.00999948,0.00999948
25,388.985,1.00797,0.94531,1.18128,0.91283,0.40191,0.45889,0.36187,0.77278,0.63383,0.94974,0.00999944,0.00999944,0.00999944
26,403.065,0.99863,0.93685,1.16849,0.93785,0.40451,0.46091,0.36533,0.78609,0.58636,0.95024,0.00999939,0.00999939,0.00999939
27,417.731,0.99343,0.93541,1.16457,0.91351,0.42321,0.4626,0.34787,0.83073,0.61097,0.98777,0.00999934,0.00999934,0.00999934
28,432.165,0.99506,0.90887,1.16549,0.89781,0.40909,0.4521,0.35371,0.79565,0.6409,0.97675,0.00999929,0.00999929,0.00999929
29,448.295,1.01478,0.90942,1.1737,0.91998,0.41433,0.45598,0.35185,0.81145,0.62573,0.96875,0.00999923,0.00999923,0.00999923
30,464.238,1.0106,0.90442,1.16486,0.91931,0.40909,0.45155,0.34988,0.8318,0.61633,0.99474,0.00999918,0.00999918,0.00999918
31,480.623,0.98554,0.93865,1.15514,0.90139,0.43541,0.46782,0.36084,0.83316,0.61511,0.97106,0.00999912,0.00999912,0.00999912
32,496.916,0.96731,0.9315,1.14728,0.94138,0.39628,0.46376,0.35922,0.79656,0.59919,0.96514,0.00999906,0.00999906,0.00999906
33,510.705,0.97951,0.88941,1.15833,0.9129,0.40827,0.45436,0.35636,0.80394,0.67231,0.96446,0.009999,0.009999,0.009999
34,524.58,0.97381,0.9097,1.15866,0.91411,0.40431,0.45787,0.35635,0.79666,0.62161,0.96406,0.00999894,0.00999894,0.00999894
35,538.643,0.96255,0.86676,1.14598,0.90231,0.4067,0.45134,0.35194,0.82319,0.63403,0.98899,0.00999887,0.00999887,0.00999887
36,552.551,0.95937,0.9089,1.14847,0.88973,0.42105,0.45986,0.36165,0.77149,0.61321,0.94651,0.0099988,0.0099988,0.0099988
37,566.538,0.96092,0.87101,1.13409,0.89684,0.43301,0.46786,0.37195,0.77785,0.58824,0.9574,0.00999873,0.00999873,0.00999873
38,580.432,0.9645,0.89571,1.14195,0.90678,0.4067,0.45179,0.35506,0.79628,0.6392,0.94464,0.00999866,0.00999866,0.00999866
39,594.141,0.99204,0.9167,1.16671,0.91584,0.39234,0.47197,0.36568,0.81509,0.6167,0.97513,0.00999859,0.00999859,0.00999859
40,609.067,0.9507,0.88547,1.14238,0.92874,0.39474,0.45673,0.35644,0.76638,0.61939,0.94318,0.00999851,0.00999851,0.00999851
41,623.964,0.95054,0.86931,1.14231,0.91117,0.40191,0.5351,0.43314,0.78984,0.65372,0.9479,0.00999844,0.00999844,0.00999844
42,638.45,0.95036,0.88798,1.1388,0.91949,0.38278,0.45409,0.3502,0.85278,0.6258,1.00118,0.00999836,0.00999836,0.00999836
43,652.917,0.97471,0.89102,1.13861,0.9393,0.38094,0.46609,0.36856,0.79275,0.62534,0.98319,0.00999828,0.00999828,0.00999828
44,666.906,0.95923,0.87348,1.14621,0.88925,0.38678,0.43503,0.33544,0.81379,0.75879,0.97832,0.00999819,0.00999819,0.00999819
45,681.126,0.961,0.90938,1.14604,0.90259,0.43504,0.45925,0.35566,0.78557,0.60729,0.95453,0.00999811,0.00999811,0.00999811
46,695.508,0.94128,0.87723,1.13846,0.91315,0.40968,0.4546,0.35473,0.80756,0.61201,0.96488,0.00999802,0.00999802,0.00999802
47,709.889,0.94747,0.86681,1.13368,0.91265,0.40909,0.45111,0.35485,0.77346,0.75439,0.94879,0.00999793,0.00999793,0.00999793
48,724.193,0.94305,0.87242,1.13661,0.88112,0.44483,0.46416,0.35985,0.8009,0.60452,0.96444,0.00999784,0.00999784,0.00999784
